mouse_time,condition_label,target,rotation_deg,cursorjump,targetjump,arrow_offset,aiming_target,aiming_direction,aiming_type,feedback_type,hold_duration,hold_target,phase,trialtype,mousex_rel,mousey_rel,step,points,cumulativetime,version,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,condition,qualtrics,group,date,expName,psychopyVersion,OS,frameRate,home_x,home_y,target_x,target_y,cursor_x,cursor_y,selected,max_v,movement
0.001,cursorjump,315,0,0.5,10,,0,,0,1,0.5,FALSE,practice,1,0,0.007556,1,0,14.6457,4,0,0,0,0,1,227368,4,SV_73ADPjbMtd0KUBg,304,2021-10-21_16h13.08.584,implicit_time,2021.1.4,Linux x86_64,59.95563283,0,0,NA,NA,NA,NA,0,0,0
0.0253,cursorjump,315,0,0.5,10,,0,,0,1,0.5,FALSE,practice,1,0,0.007556,1,0,14.6457,4,0,0,0,0,1,227368,4,SV_73ADPjbMtd0KUBg,304,2021-10-21_16h13.08.584,implicit_time,2021.1.4,Linux x86_64,59.95563283,0,0,NA,NA,NA,NA,0,0,0
0.0311,cursorjump,315,0,0.5,10,,0,,0,1,0.5,FALSE,practice,1,0,0.007556,1,0,14.6457,4,0,0,0,0,1,227368,4,SV_73ADPjbMtd0KUBg,304,2021-10-21_16h13.08.584,implicit_time,2021.1.4,Linux x86_64,59.95563283,0,0,NA,NA,NA,NA,0,0,0
0.0484,cursorjump,315,0,0.5,10,,0,,0,1,0.5,FALSE,practice,1,0,0.007556,1,0,14.6457,4,0,0,0,0,1,227368,4,SV_73ADPjbMtd0KUBg,304,2021-10-21_16h13.08.584,implicit_time,2021.1.4,Linux x86_64,59.95563283,0,0,NA,NA,NA,NA,0,0,0
0.0702,cursorjump,315,0,0.5,10,,0,,0,1,0.5,FALSE,practice,1,0,0.007556,1,0,14.6457,4,0,0,0,0,1,227368,4,SV_73ADPjbMtd0KUBg,304,2021-10-21_16h13.08.584,implicit_time,2021.1.4,Linux x86_64,59.95563283,0,0,NA,NA,NA,NA,0,0,0
0.0819,cursorjump,315,0,0.5,10,,0,,0,1,0.5,FALSE,practice,1,0,0.007556,1,0,14.6457,4,0,0,0,0,1,227368,4,SV_73ADPjbMtd0KUBg,304,2021-10-21_16h13.08.584,implicit_time,2021.1.4,Linux x86_64,59.95563283,0,0,NA,NA,NA,NA,0,0,0
0.0985,cursorjump,315,0,0.5,10,,0,,0,1,0.5,FALSE,practice,1,0,0.007556,1,0,14.6457,4,0,0,0,0,1,227368,4,SV_73ADPjbMtd0KUBg,304,2021-10-21_16h13.08.584,implicit_time,2021.1.4,Linux x86_64,59.95563283,0,0,NA,NA,NA,NA,0,0,0
0.1148,cursorjump,315,0,0.5,10,,0,,0,1,0.5,FALSE,practice,1,0,0.007556,1,0,14.6457,4,0,0,0,0,1,227368,4,SV_73ADPjbMtd0KUBg,304,2021-10-21_16h13.08.584,implicit_time,2021.1.4,Linux x86_64,59.95563283,0,0,NA,NA,NA,NA,0,0,0
0.131,cursorjump,315,0,0.5,10,,0,,0,1,0.5,FALSE,practice,1,0,0.007556,1,0,14.6457,4,0,0,0,0,1,227368,4,SV_73ADPjbMtd0KUBg,304,2021-10-21_16h13.08.584,implicit_time,2021.1.4,Linux x86_64,59.95563283,0,0,NA,NA,NA,NA,0,0,0
0.1484,cursorjump,315,0,0.5,10,,0,,0,1,0.5,FALSE,practice,1,0,0.007556,1,0,14.6457,4,0,0,0,0,1,227368,4,SV_73ADPjbMtd0KUBg,304,2021-10-21_16h13.08.584,implicit_time,2021.1.4,Linux x86_64,59.95563283,0,0,NA,NA,NA,NA,0,0,0
0.1653,cursorjump,315,0,0.5,10,,0,,0,1,0.5,FALSE,practice,1,0,0.007556,1,0,14.6457,4,0,0,0,0,1,227368,4,SV_73ADPjbMtd0KUBg,304,2021-10-21_16h13.08.584,implicit_time,2021.1.4,Linux x86_64,59.95563283,0,0,NA,NA,NA,NA,0,0,0
0.1814,cursorjump,315,0,0.5,10,,0,,0,1,0.5,FALSE,practice,1,0,0.007556,1,0,14.6457,4,0,0,0,0,1,227368,4,SV_73ADPjbMtd0KUBg,304,2021-10-21_16h13.08.584,implicit_time,2021.1.4,Linux x86_64,59.95563283,0,0,NA,NA,NA,NA,0,0,0
0.1984,cursorjump,315,0,0.5,10,,0,,0,1,0.5,FALSE,practice,1,0,0.007556,1,0,14.6457,4,0,0,0,0,1,227368,4,SV_73ADPjbMtd0KUBg,304,2021-10-21_16h13.08.584,implicit_time,2021.1.4,Linux x86_64,59.95563283,0,0,NA,NA,NA,NA,0,0,0
0.2154,cursorjump,315,0,0.5,10,,0,,0,1,0.5,FALSE,practice,1,0,0.007556,1,0,14.6457,4,0,0,0,0,1,227368,4,SV_73ADPjbMtd0KUBg,304,2021-10-21_16h13.08.584,implicit_time,2021.1.4,Linux x86_64,59.95563283,0,0,NA,NA,NA,NA,0,0,0
0.2321,cursorjump,315,0,0.5,10,,0,,0,1,0.5,FALSE,practice,1,0,0.007556,1,0,14.6457,4,0,0,0,0,1,227368,4,SV_73ADPjbMtd0KUBg,304,2021-10-21_16h13.08.584,implicit_time,2021.1.4,Linux x86_64,59.95563283,0,0,NA,NA,NA,NA,0,0,0
0.2488,cursorjump,315,0,0.5,10,,0,,0,1,0.5,FALSE,practice,1,0,0.007556,1,0,14.6457,4,0,0,0,0,1,227368,4,SV_73ADPjbMtd0KUBg,304,2021-10-21_16h13.08.584,implicit_time,2021.1.4,Linux x86_64,59.95563283,0,0,NA,NA,NA,NA,0,0,0
0.2658,cursorjump,315,0,0.5,10,,0,,0,1,0.5,FALSE,practice,1,-0.004167,0.001333,1,0,14.6457,4,0,0,0,0,1,227368,4,SV_73ADPjbMtd0KUBg,304,2021-10-21_16h13.08.584,implicit_time,2021.1.4,Linux x86_64,59.95563283,0,0,NA,NA,NA,NA,0,0,0
0.2818,cursorjump,315,0,0.5,10,,0,,0,1,0.5,FALSE,practice,1,-0.0125,-0.001778,1,0,14.6457,4,0,0,0,0,1,227368,4,SV_73ADPjbMtd0KUBg,304,2021-10-21_16h13.08.584,implicit_time,2021.1.4,Linux x86_64,59.95563283,0,0,NA,NA,NA,NA,0,0,0
0.2983,cursorjump,315,0,0.5,10,,0,,0,1,0.5,FALSE,practice,1,-0.035417,0.004444,1,0,14.6457,4,0,0,0,0,1,227368,4,SV_73ADPjbMtd0KUBg,304,2021-10-21_16h13.08.584,implicit_time,2021.1.4,Linux x86_64,59.95563283,0,0,NA,NA,NA,NA,0,0,0
0.3149,cursorjump,315,0,0.5,10,,0,,0,1,0.5,FALSE,practice,1,-0.058333,0.013778,1,0,14.6457,4,0,0,0,0,1,227368,4,SV_73ADPjbMtd0KUBg,304,2021-10-21_16h13.08.584,implicit_time,2021.1.4,Linux x86_64,59.95563283,0,0,NA,NA,NA,NA,0,0,0
0.3369,cursorjump,315,0,0.5,10,,0,,0,1,0.5,FALSE,practice,1,-0.058333,0.013778,1,0,14.6457,4,0,0,0,0,1,227368,4,SV_73ADPjbMtd0KUBg,304,2021-10-21_16h13.08.584,implicit_time,2021.1.4,Linux x86_64,59.95563283,0,0,NA,NA,NA,NA,0,0,0
0.348,cursorjump,315,0,0.5,10,,0,,0,1,0.5,FALSE,practice,1,-0.058333,0.013778,1,0,14.6457,4,0,0,0,0,1,227368,4,SV_73ADPjbMtd0KUBg,304,2021-10-21_16h13.08.584,implicit_time,2021.1.4,Linux x86_64,59.95563283,0,0,NA,NA,NA,NA,0,0,0
0.3647,cursorjump,315,0,0.5,10,,0,,0,1,0.5,FALSE,practice,1,-0.058333,0.013778,1,0,14.6457,4,0,0,0,0,1,227368,4,SV_73ADPjbMtd0KUBg,304,2021-10-21_16h13.08.584,implicit_time,2021.1.4,Linux x86_64,59.95563283,0,0,NA,NA,NA,NA,0,0,0
0.3815,cursorjump,315,0,0.5,10,,0,,0,1,0.5,FALSE,practice,1,-0.058333,0.013778,1,0,14.6457,4,0,0,0,0,1,227368,4,SV_73ADPjbMtd0KUBg,304,2021-10-21_16h13.08.584,implicit_time,2021.1.4,Linux x86_64,59.95563283,0,0,NA,NA,NA,NA,0,0,0
0.3983,cursorjump,315,0,0.5,10,,0,,0,1,0.5,FALSE,practice,1,-0.058333,0.013778,1,0,14.6457,4,0,0,0,0,1,227368,4,SV_73ADPjbMtd0KUBg,304,2021-10-21_16h13.08.584,implicit_time,2021.1.4,Linux x86_64,59.95563283,0,0,NA,NA,NA,NA,0,0,0
0.4163,cursorjump,315,0,0.5,10,,0,,0,1,0.5,FALSE,practice,1,-0.058333,0.013778,1,0,14.6457,4,0,0,0,0,1,227368,4,SV_73ADPjbMtd0KUBg,304,2021-10-21_16h13.08.584,implicit_time,2021.1.4,Linux x86_64,59.95563283,0,0,NA,NA,NA,NA,0,0,0
